SBS0_Load,SBS0_SINR,SBS0_PRB,SBS0_Power,SBS1_Load,SBS1_SINR,SBS1_PRB,SBS1_Power,SBS2_Load,SBS2_SINR,SBS2_PRB,SBS2_Power,SBS3_Load,SBS3_SINR,SBS3_PRB,SBS3_Power,SBS4_Load,SBS4_SINR,SBS4_PRB,SBS4_Power,SBS5_Load,SBS5_SINR,SBS5_PRB,SBS5_Power,Throughput,Delay,SINR,EnergyEfficiency,TotalPower,PacketLoss,BackhaulUtilization,SleepRatio,ActiveSBS,Reward
34.9203,15.4922,28,25,11.3136,7.42786,20,24,11.6061,18.2835,27,29,55.6907,14.8258,31,25,11.8678,19.9745,28,28,38.3452,9.25602,38,27,33.5857,0.006,14.21,0.951164,35.3101,0.5,32.7208,0.166667,5,52.1514
19.4622,9.22413,25,23,11.7527,18.0426,22,30,26.4123,21.2549,37,24,54.1245,6.23514,28,24,19.2887,5.04366,20,22,21.8169,6.35989,23,28,40.8941,0.002,11.0267,1.12065,36.4914,2.5,8.21107,0,6,57.1307
30.2198,16.6142,28,24,38.6266,21.6668,34,28,41.3115,18.0028,32,23,45.5598,8.8538,20,28,36.9117,22.5952,35,29,43.4301,8.30057,23,26,40.3437,0.002,16.0056,1.09317,36.9051,0.5,7.35125,0,6,64.0779
32.8655,4.19321,22,21,42.8438,19.6801,28,29,25.1811,15.7231,32,28,14.0719,22.0851,26,30,21.274,6.59005,36,24,54.3043,17.1876,56,29,29.9568,0.006,14.2432,0.796793,37.5967,3.5,9.24346,0,6,33.9945
32.8655,4.19321,22,21,42.8438,19.6801,28,29,25.1811,15.7231,32,24,14.0719,22.0851,48,30,21.274,6.59005,36,24,54.3043,17.1876,56,29,41.2841,0.006,14.2432,1.10928,37.2169,3.5,15.4137,0,6,53.3307
33.7255,11.1131,30,24,18.5274,25.8303,30,31,58.7494,14.2145,35,28,35.2214,19.3861,27,30,16.5567,18.6855,45,29,54.5149,10.4219,32,23,39.816,0.003,16.6086,1.08683,36.6349,4.5,32.0023,0.166667,5,46.5128
28.452,11.7714,29,24,28.2716,15.6591,33,21,42.5585,5.31297,25,23,52.7178,19.8833,29,31,49.6882,9.6044,47,25,48.0332,22.2642,59,30,29.9711,0.003,14.0826,0.806722,37.1518,1.5,8.03602,0,6,42.1823
38.5548,14.9831,33,29,44.0053,7.21118,20,24,37.8092,12.2898,31,24,27.5681,21.5285,28,29,33.1117,11.1832,43,31,50.9279,10.7684,48,27,38.2279,0.007,12.994,1.00995,37.8511,2.5,10.3296,0,6,52.0486
38.5548,14.9831,33,29,44.0053,7.21118,20,24,37.8092,12.2898,31,22,27.5681,21.5285,28,29,33.1117,11.1832,43,31,50.9279,10.7684,31,27,38.2279,0.007,12.994,1.01243,37.7584,2.5,5.27023,0,6,52.2276
32.6247,5.75172,19,23,51.7246,24.9247,29,30,53.8068,15.5667,32,26,34.5,17.6367,30,23,50.076,16.4983,48,30,59.8294,9.56405,44,25,29.6233,0.004,14.9903,0.831802,35.6134,0.5,19.3053,0.166667,5,45.6411
13.6975,5.35356,21,22,21.2044,17.9418,24,31,20.864,9.44356,26,24,58.8019,7.76671,20,23,20.6024,11.5194,41,26,13.4275,16.4828,43,28,33.5357,0.009,11.418,0.908895,36.8972,2.5,12.3876,0,6,44.2063
13.6975,5.35356,21,22,21.2044,17.9418,34,31,20.864,9.44356,26,26,58.8019,7.76671,20,23,20.6024,11.5194,41,26,13.4275,16.4828,31,28,32.3941,0.009,11.418,0.874474,37.0441,2.5,6.10506,0,6,42.3953
12.7586,11.0174,25,23,39.4536,26.8738,44,29,51.116,16.1772,36,30,27.2876,17.4367,24,28,10.9314,19.3783,44,25,28.1639,12.5117,30,25,32.2465,0.005,17.2325,0.865509,37.2573,3.5,3.26724,0,6,38.1902
18.9843,14.9345,25,30,35.6585,18.9985,32,29,38.3153,20.6418,33,26,13.169,15.1936,24,30,17.6619,7.97836,31,24,38.9896,9.01574,23,28,28.2241,0.006,14.4604,0.741284,38.0746,0.5,3.21575,0,6,43.094
